npsn,classrooms_good,classrooms_moderate_damage,classrooms_heavy_damage,lacking_rkb
69826911,0,0,0,1
70001435,0,0,0,1
69890166,0,0,0,0
69867314,0,0,0,1
69988674,0,0,0,1
69826933,0,0,0,0
69988587,0,0,0,2
69982689,0,0,0,0
69867307,0,0,0,1
69867308,0,0,0,1
69826953,0,0,0,2
69867310,0,0,0,3
69826899,0,0,0,1
69867305,0,0,0,2
69965899,0,0,0,0
69827013,0,0,0,2
69990225,0,0,0,1
69890174,0,0,0,0
70045003,0,0,0,0
69969514,0,0,0,0
69867304,0,0,0,0
69867312,0,0,0,0
69826877,0,0,0,0
70004662,0,0,0,2
69912832,0,0,0,1
69962976,0,0,0,1
69955030,0,0,0,0
69939795,0,0,0,1
69826893,0,0,0,0
70004661,0,0,0,2
69867311,0,0,0,0
69971063,0,0,0,0
69980571,0,0,0,0
69827041,0,0,0,3
69826768,0,0,0,0
69826794,0,0,0,1
69867571,0,0,0,1
69826980,0,0,0,1
69867302,0,0,0,2
69867309,0,0,0,2
69827033,0,0,0,2
69912813,0,0,0,1
70004660,0,0,0,1
69969761,0,0,0,0
20260133,0,0,0,1
20260184,0,0,0,0
20260312,0,0,0,1
69756583,0,0,0,0
69827150,0,0,0,1
69867438,0,0,0,1
69867629,0,0,0,2
69956734,0,0,0,1
69827108,0,0,0,1
69948061,0,0,0,0
69984955,0,0,0,0
69827188,0,0,0,0
69966805,0,0,0,0
69827342,0,0,0,1
69910938,0,0,0,0
69827283,0,0,0,1
69867449,0,0,0,1
69974744,0,0,0,1
69867628,0,0,0,0
69827124,0,0,0,1
69827247,0,0,0,0
69936204,0,0,0,0
69827288,0,0,0,0
69867445,0,0,0,0
69867436,0,0,0,0
69972002,0,0,0,1
69972000,0,0,0,1
69867437,0,0,0,1
69827301,0,0,0,1
69974759,0,0,0,0
69827208,0,0,0,0
69911510,0,0,0,0
69867448,0,0,0,0
69878165,0,0,0,0
69968059,0,0,0,0
69827179,0,0,0,1
69867450,0,0,0,0
69827325,0,0,0,0
69956743,0,0,0,3
69827271,0,0,0,0
69867446,0,0,0,0
69867447,0,0,0,0
69996253,0,0,0,0
69827321,0,0,0,2
69827303,0,0,0,1
69827290,0,0,0,1
69827349,0,0,0,0
69827101,0,0,0,0
69827275,0,0,0,1
69827183,0,0,0,0
69827105,0,0,0,1
69827298,0,0,0,0
69827202,0,0,0,0
69827343,0,0,0,1
69956961,0,0,0,0
69827243,0,0,0,1
69827207,0,0,0,1
69827317,0,0,0,0
69867191,0,0,0,0
20259905,0,0,0,0
20259909,0,0,0,1
69867186,0,0,0,1
20259934,0,0,0,0
20259940,0,0,0,0
69867196,0,0,0,1
69867190,0,0,0,4
69974742,0,0,0,1
69946655,0,0,0,2
69867193,0,0,0,1
20260027,0,0,0,2
69867189,0,0,0,1
20260059,0,0,0,2
20260070,0,0,0,2
69867183,0,0,0,2
69867185,0,0,0,1
69906364,0,0,0,0
69878148,0,0,0,2
69867195,0,0,0,0
20260089,0,0,0,1
69991817,0,0,0,1
20260350,0,0,0,3
20260139,0,0,0,1
69867184,0,0,0,0
69867188,0,0,0,0
20260179,0,0,0,1
20260182,0,0,0,0
69867194,0,0,0,1
69867182,0,0,0,1
20260286,0,0,0,1
69956963,0,0,0,1
69867197,0,0,0,0
69867331,0,0,0,0
69962903,0,0,0,0
69867327,0,0,0,0
69996047,0,0,0,0
70014096,0,0,0,0
69940037,0,0,0,0
69972132,0,0,0,0
69908617,0,0,0,0
69826859,0,0,0,0
69890172,0,0,0,0
69979702,0,0,0,0
69913076,0,0,0,0
69878161,0,0,0,0
69978893,0,0,0,0
69826889,0,0,0,0
69867323,0,0,0,0
69972262,0,0,0,0
69867322,0,0,0,0
69878153,0,0,0,0
69867332,0,0,0,0
69972137,0,0,0,0
69867330,0,0,0,0
69993113,0,0,0,0
69960671,0,0,0,0
69867329,0,0,0,0
69979870,0,0,0,0
69878163,0,0,0,0
69948351,0,0,0,0
69867320,0,0,0,0
69867325,0,0,0,0
69867324,0,0,0,0
69867318,0,0,0,0
69867315,0,0,0,0
69867328,0,0,0,0
69826770,0,0,0,0
69826967,0,0,0,0
69878151,0,0,0,0
69826944,0,0,0,0
69827008,0,0,0,0
69878155,0,0,0,0
69878154,0,0,0,0
69826964,0,0,0,0
69827048,0,0,0,0
69827077,0,0,0,0
69878178,0,0,0,0
69826823,0,0,0,0
69826928,0,0,0,0
20259901,0,0,0,0
69962898,0,0,0,0
69867125,0,0,0,0
20260016,0,0,0,0
69950841,0,0,0,0
69867128,0,0,0,0
70004187,0,0,0,0
20260055,0,0,0,0
20260068,0,0,0,0
70001463,0,0,0,0
69867126,0,0,0,0
69878144,0,0,0,0
20260090,0,0,0,0
69827038,0,0,0,0
20259947,0,0,0,0
69867127,0,0,0,0
20260167,0,0,0,0
20260171,0,0,0,0
69996147,0,0,0,0
69979699,0,0,0,0
69962897,0,0,0,0
20260205,0,0,0,0
20260280,0,0,0,0
70004189,0,0,0,0
20260339,0,0,0,0
69753193,0,0,0,0
69753198,0,0,0,0
69753194,0,0,0,0
69967793,0,0,0,0
69827338,0,0,0,0
69867479,0,0,0,0
69915866,0,0,0,0
69867478,0,0,0,0
69919716,0,0,0,0
69867477,0,0,0,0
69827345,0,0,0,1
69942510,0,0,0,0
69827176,0,0,0,0
69827224,0,0,0,0
69915870,0,0,0,0
69827138,0,0,0,0
69915872,0,0,0,0
69970021,0,0,0,0
69827337,0,0,0,0
69915877,0,0,0,0
69827306,0,0,0,0
69827362,0,0,0,0
69867476,0,0,0,0
69912805,0,0,0,0
69827117,0,0,0,0
69938521,0,0,0,0
69915881,0,0,0,0
69969765,0,0,0,0
69827152,0,0,0,0
69986708,0,0,0,0
69878175,0,0,0,0
69827228,0,0,0,0
69827235,0,0,0,0
69878177,0,0,0,0
69867474,0,0,0,0
69938524,0,0,0,0
69867475,0,0,0,0
69827121,0,0,0,0
69827365,0,0,0,0
69878176,0,0,0,0
69827147,0,0,0,0
69952157,0,0,0,0
69827204,0,0,0,0
69827265,0,0,0,0
69827355,0,0,0,0
69827086,0,0,0,0
69827197,0,0,0,0
69827292,0,0,0,0
69981741,0,0,0,0
70004081,0,0,0,0
69981740,0,0,0,0
20257561,0,0,0,0
69867211,0,0,0,0
20257560,0,0,0,0
69986300,0,0,0,0
69911766,0,0,0,0
20257562,0,0,0,0
20257565,0,0,0,0
69867212,0,0,0,0
69937752,0,0,0,0
69950619,0,0,0,0
69969420,0,0,0,0
69911768,0,0,0,0
69969080,0,0,0,0
20257564,0,0,0,0
69980530,0,0,0,0
20257550,0,0,0,0
20257558,0,0,0,0
69981235,0,0,0,0
70002147,0,0,0,0
69867224,0,0,0,0
70028459,0,0,0,0
69993108,0,0,0,0
70002997,0,0,0,0
70002243,0,0,0,0
69826579,0,0,0,0
69867528,0,0,0,0
69867236,0,0,0,0
69826583,0,0,0,0
69984520,0,0,0,0
69990521,0,0,0,0
69905963,0,0,0,0
69963613,0,0,0,0
69867232,0,0,0,0
69981193,0,0,0,0
69979563,0,0,0,0
69878156,0,0,0,2
69878157,0,0,0,0
69981248,0,0,0,0
69826744,0,0,0,0
70004586,0,0,0,0
69981169,0,0,0,0
70002068,0,0,0,0
69826641,0,0,0,0
69984985,0,0,0,0
69905965,0,0,0,0
69990530,0,0,0,0
69867229,0,0,0,0
69826644,0,0,0,0
69826584,0,0,0,0
69969794,0,0,0,1
69826646,0,0,0,0
69867230,0,0,0,0
69985137,0,0,0,0
69826754,0,0,0,0
69826633,0,0,0,0
69826692,0,0,0,0
70004202,0,0,0,0
70004208,0,0,0,0
69916185,0,0,0,0
69867227,0,0,0,0
69826712,0,0,0,0
69867221,0,0,0,0
