npsn,kegiatan,lokal
70025724,Pembangunan RKB,1
70046825,Pembangunan RKB,1
20260214,Pembangunan RKB,1
70050187,Pembangunan RKB,1
69867297,Pembangunan RKB,1
70002338,Pembangunan RKB,1
69962529,Pembangunan RKB,1
69826823,Pembangunan RKB,1
69867323,Pembangunan RKB,1
69867322,Pembangunan RKB,1
69878153,Pembangunan RKB,1
69827048,Pembangunan RKB,1
69827077,Pembangunan RKB,1
69979870,Pembangunan RKB,1
70001463,Pembangunan RKB,1
20259951,Pembangunan RKB,1
70000667,Pembangunan RKB,1
69989299,Pembangunan Toilet,1
69826589,Pemagaran/ Penataan Halaman,1
69944960,Pembangunan RKB,1
69867208,Rehab Ruang Kelas,1
69753284,Rehab Ruang Kelas,1
69907128,Rehab Ruang Kelas,1
69963864,Rehab Ruang Kelas,1
70006592,Rehab Ruang Kelas,1
69878172,Rehab Ruang Kelas,1
69963061,Rehab Ruang Kelas,1
69826695,Rehab Ruang Kelas,1
69867165,Rehab Ruang Kelas,1
69827292,Rehab Ruang Kelas,1
69961009,Rehab Ruang Kelas,1
70031704,Rehab Ruang Kelas,1
20259975,Rehab Ruang Kelas,1
69980216,Rehab Ruang Kelas,1
70008017,Rehab Ruang Kelas,1
70045378,Rehab Ruang Kelas,1
69827062,Rehab Ruang Kelas,1
69827205,Rehab Ruang Kelas,1
69905130,Rehab Ruang Kelas,1
20260158,Rehab Ruang Kelas,1
69827266,Rehab Ruang Kelas,1
69867299,Rehab Ruang Kelas,1
69826790,Rehab Ruang Kelas,1
69827063,Rehab Ruang Kelas,1
69942510,Rehab Ruang Kelas,1
69827345,Rehab Ruang Kelas,1
69906836,Rehab Ruang Kelas,1
69826697,Rehab Ruang Kelas,1
69922157,Rehab Ruang Kelas,1
20260238,Pembangunan area bermain beserta APE luar ruang,1
20259892,Pembangunan Toilet,1
20259892,Pembangunan area bermain beserta APE luar ruang,1
20259892,Pembangunan ruang UKS beserta perabotnya,1
20257877,Pembangunan Toilet,1
20257877,Pembangunan ruang UKS beserta perabotnya,1
20259919,Pembangunan Toilet,1
20259919,Pembangunan area bermain beserta APE luar ruang,1
20259919,Pembangunan ruang UKS beserta perabotnya,1
20259957,Pembangunan Toilet,1
20259957,Pembangunan ruang UKS beserta perabotnya,1
20227071,Rehab Ruang Kelas,2
20225713,Rehab Ruang Kelas,4
20227092,Rehab Ruang Kelas,2
20226176,Rehab Ruang Kelas,1
20225693,Rehab Ruang Kelas,1
20226877,Rehab Ruang Kelas,2
20226877,Pembangunan RKB,1
20261747,Pemagaran dan Penataan Halaman,1
20261920,Rehab Ruang Kelas,4
20225782,Rehab Ruang Kelas,2
20226016,Rehab Ruang Kelas,2
20226725,Rehab Ruang Kelas,3
20225819,Rehab Ruang Kelas,4
20226371,Rehab Ruang Kelas,3
20227151,Rehab Ruang Kelas,3
20226343,Rehab Ruang Kelas,6
20257673,Rehab Ruang Kelas,6
20226987,Rehab Ruang Kelas,2
20226893,Rehab Ruang Kelas,1
20225768,Rehab Ruang Kelas,2
20226042,Rehab Ruang Kelas,4
20225938,Rehab Ruang Kelas,3
20225694,Rehab Ruang Kelas,3
20226854,Rehab Ruang Kelas,3
20226419,Rehab Ruang Kelas,1
20226487,Rehab Ruang Kelas,1
20226492,Rehab Ruang Kelas,1
69753574,Pembangunan RKB,1
20227171,Pembangunan RKB,1
20226403,Rehab Ruang Kelas,2
20208930,Rehab Ruang Kelas,4
20226939,Rehab Ruang Kelas,1
20208857,Pemagaran dan Penataan Halaman,1
20226437,Pembangunan Toilet,1
20226568,Rehab Ruang Kelas,3
20225957,Rehab Ruang Kelas,2
20226824,Rehab Ruang Kelas,2
20227058,Rehab Ruang Kelas,2
20226556,Pemagaran dan Penataan Halaman,1
20226644,Rehab Ruang Kelas,2
20226644,Pembangunan Toilet,1
20226633,Rehab Ruang Kelas,3
20226060,Pemagaran dan Penataan Halaman,1
20226290,Pemagaran dan Penataan Halaman,1
20227108,Rehab Ruang Kelas,1
20226243,Rehab Ruang Kelas,3
20226814,Rehab Ruang Kelas,3
20226151,Rehab Ruang Kelas,3
20225738,Rehab Ruang Kelas,2
20226931,Pemagaran dan Penataan Halaman,1
20226057,Rehab Ruang Kelas,2
20226995,Rehab Ruang Kelas,4
20226001,Pembangunan RKB,1
20226761,Rehab Ruang Kelas,3
20226306,Rehab Ruang Kelas,1
20226752,Rehab Ruang Kelas,2
20227019,Rehab Ruang Kelas,2
20225873,Rehab Ruang Kelas,2
20226911,Rehab Ruang Kelas,3
20209004,Rehab Ruang Kelas,1
20227158,Rehab Ruang Kelas,2
20226573,Rehab Ruang Kelas,2
20226005,Pembangunan RKB,1
20226097,Pemagaran dan Penataan Halaman,1
20226286,Rehab Ruang Kelas,1
20225718,Rehab Ruang Kelas,2
20208892,Rehab Ruang Kelas,3
20226501,Pembangunan Toilet,1
20226855,Rehab Ruang Kelas,2
20226497,Rehab Ruang Kelas,3
20227129,Rehab Ruang Kelas,3
20226615,Rehab Ruang Kelas,3
20226692,Rehab Ruang Kelas,2
20226693,Rehab Ruang Kelas,3
20226672,Rehab Ruang Kelas,2
20227102,Rehab Ruang Kelas,2
20225916,Rehab Ruang Kelas,2
69725568,Rehab Ruang Kelas,2
20226770,Rehab Ruang Kelas,2
20226043,Rehab Ruang Kelas,2
20225809,Pemagaran dan Penataan Halaman,1
20225981,Pemagaran dan Penataan Halaman,1
20226648,Rehab Ruang Kelas,2
20227037,Rehab Ruang Kelas,3
20226376,Rehab Ruang Kelas,2
20226701,Rehab Ruang Kelas,2
20226388,Rehab Ruang Kelas,6
20226389,Rehab Ruang Kelas,6
20226899,Rehab Ruang Kelas,2
20226804,Rehab Ruang Kelas,2
20227048,Rehab Ruang Kelas,2
20226796,Rehab Ruang Kelas,2
20226606,Rehab Ruang Kelas,2
20223768,Rehab Ruang Kelas,2
20226610,Pembangunan RKB,1
20226840,Pembangunan Toilet,1
20225922,Rehab Ruang Kelas,2
69896048,Rehab Ruang Kelas,3
20209285,Rehab Ruang Kelas,1
20262015,Rehab Ruang Kelas,2
20209362,Rehab Ruang Kelas,2
20209283,Rehab Ruang Kelas,3
20209282,Rehab Ruang Kelas,2
20227424,Rehab Ruang Kelas,2
20262020,Rehab Ruang Kelas,3
20227402,Rehab Ruang Kelas,2
69894141,Rehab Ruang Kelas,2
20268956,Rehab Ruang Kelas,2
20209296,Rehab Ruang Kelas,3
20227406,Rehab Ruang Kelas,2
69969735,Rehab Ruang Kelas,2
20227406,Rehab Ruang Kelas,2
20227417,Rehab Ruang Kelas,2
20269732,Rehab Ruang Kelas,2
20209312,Rehab Ruang Kelas,1
20209401,Rehab Ruang Kelas,2
20262016,Rehab Ruang Kelas,3
69971127,Rehab Ruang Kelas,3
20209309,Rehab Ruang Kelas,2
69909556,Rehab Ruang Kelas,2
20209308,Rehab Ruang Kelas,3
20262021,Rehab Ruang Kelas,3
20209361,Rehab Ruang Kelas,3
20262024,Rehab Ruang Kelas,4
20272104,Rehab Ruang Kelas,3
20276002,Rehab Ruang Kelas,2
20209307,Rehab Ruang Kelas,3
20262017,Rehab Ruang Kelas,2
20268874,Rehab Ruang Kelas,2
20271626,Rehab Ruang Kelas,3
20209304,Rehab Ruang Kelas,7
20209355,Rehab Ruang Kelas,4
20276001,Rehab Ruang Kelas,1
20209410,Rehab Ruang Kelas,1
20209274,Rehab Ruang Kelas,2
20209301,Rehab Ruang Kelas,2
20209299,Rehab Ruang Kelas,2
20209358,Rehab Ruang Kelas,2
20268981,Rehab Ruang Kelas,2
20261996,Rehab Ruang Kelas,2
20254356,Rehab Ruang Kelas,2
20209356,Rehab Ruang Kelas,3
20269731,Rehab Ruang Kelas,4
20209397,Rehab Ruang Kelas,2
20209394,Rehab Ruang Kelas,2
20209247,Rehab Ruang Kelas,4
69953894,Rehab Ruang Kelas,2
20209160,Rehab Ruang Kelas,3
20209158,Rehab Ruang Kelas,2
70009385,Pembangunan RKB,1
69957193,Pembangunan RKB,1
20209247,Pembangunan RKB,1
69830372,Pembangunan RKB,1
20209160,Pembangunan RKB,1
P9984430,Pembangunan RKB,1
P9997422,Pembangunan RKB,1
P9997584,Pembangunan RKB,1
P9999263,Pembangunan RKB,1
P9948219,Pembangunan RKB,1
P9998626,Rehab Ruang Kelas,1
P9948250,Rehab Ruang Kelas,1
