name,npsn,address,village,type,level,st_male,st_female,student_count,latitude,longitude,kecamatan
AL-ALIFA,69826911,,Kadongdong,KB,PAUD,0,0,0,-7.392103,107.91923,Banjarwangi
KB AL FINNUR,70001435,,Talagasari,KB,PAUD,0,0,0,-7.4629111,107.8773383,Banjarwangi
KB AL-GHIFARI,69890166,,Dangiang,KB,PAUD,0,0,0,-7.462879,107.86761,Banjarwangi
KB AL-HIDAYAH,69867314,,Mulyajaya,KB,PAUD,0,0,0,-5.443757,114.421127,Banjarwangi
KB AL-IHSAN,69988674,,Padahurip,KB,PAUD,0,0,0,-6.2255,106.8021,Banjarwangi
KB AL-IKHWAN,69826933,,Mulyajaya,KB,PAUD,0,0,0,-5.4438,114.4211,Banjarwangi
KB AL-MUAWANAH,69988587,,Talagasari,KB,PAUD,0,0,0,-7.3531835,107.872654,Banjarwangi
KB AL-MUBAROKAH,69982689,,Mulyajaya,KB,PAUD,0,0,0,-7.4544464,107.8630557,Banjarwangi
KB AR-RIDWAN,69867307,,Banjarwangi,KB,PAUD,0,0,0,-7.4373,107.9046,Banjarwangi
KB AS-SADIYAH,69867308,,Talagasari,KB,PAUD,0,0,0,-7.4107291,107.9003465,Banjarwangi
KB ASYIFA YUSUF,69826953,,Wangunjaya,KB,PAUD,0,0,0,-7.405,107.88,Banjarwangi
KB AT TARBIYAH,69867310,,Padahurip,KB,PAUD,0,0,0,-7.4452128,107.8952515,Banjarwangi
KB BAKTI MANDIRI,69826899,,Jayabakti,KB,PAUD,0,0,0,-7.4513,107.8856,Banjarwangi
KB BUSTANUL WILDAN,69867305,,Banjarwangi,KB,PAUD,0,0,0,-7.431169,107.90408,Banjarwangi
KB CAHAYA HATI,69965899,,Mulyajaya,KB,PAUD,0,0,0,-7.3719961,107.8554254,Banjarwangi
KB DARUL ULUM,69827013,,Banjarwangi,KB,PAUD,0,0,0,-5.443757,114.421127,Banjarwangi
KB FADILATUL HUDA,69990225,,Mulyajaya,KB,PAUD,0,0,0,-7.4039,107.8691,Banjarwangi
KB HARAPAN BUNDA,69890174,,Kadongdong,SPS,PAUD,0,0,0,-7.418516,107.8679564,Banjarwangi
