npsn,kegiatan,lokal
70025724,Pembangunan,1
70046825,Pembangunan,1
20260214,Pembangunan,1
70050187,Pembangunan,1
69867297,Pembangunan,1
70002338,Pembangunan,1
69962529,Pembangunan,1
69826823,Pembangunan,1
69867323,Pembangunan,1
69867322,Pembangunan,1
69878153,Pembangunan,1
69827048,Pembangunan,1
69827077,Pembangunan,1
69979870,Pembangunan,1
70001463,Pembangunan,1
20259951,Pembangunan,1
70000667,Pembangunan,1
69989299,Pembangunan,1
69944960,Pembangunan,1
69867208,Rehab,1
69753284,Rehab,1
69907128,Rehab,1
69963864,Rehab,1
70006592,Rehab,1
69878172,Rehab,1
69963061,Rehab,1
69826695,Rehab,1
69867165,Rehab,1
69827292,Rehab,1
69961009,Rehab,1
70031704,Rehab,1
20259975,Rehab,1
69980216,Rehab,1
70008017,Rehab,1
70045378,Rehab,1
69827062,Rehab,1
69827205,Rehab,1
69905130,Rehab,1
20260158,Rehab,1
69827266,Rehab,1
69867299,Rehab,1
69826790,Rehab,1
69827063,Rehab,1
69942510,Rehab,1
69827345,Rehab,1
69906836,Rehab,1
69826697,Rehab,1
69922157,Rehab,1
20260238,Pembangunan,1
20259892,Pembangunan,1
20259892,Pembangunan,1
20259892,Pembangunan,1
20257877,Pembangunan,1
20257877,Pembangunan,1
20259919,Pembangunan,1
20259919,Pembangunan,1
20259919,Pembangunan,1
20259957,Pembangunan,1
20259957,Pembangunan,1
20227071,Rehab,2
20225713,Rehab,4
20227092,Rehab,2
20226176,Rehab,1
20225693,Rehab,1
20226877,Rehab,2
20226877,Pembangunan,1
20261920,Rehab,4
20225782,Rehab,2
20226016,Rehab,2
20226725,Rehab,3
20225819,Rehab,4
20226371,Rehab,3
20227151,Rehab,3
20226343,Rehab,6
20257673,Rehab,6
20226987,Rehab,2
20226893,Rehab,1
20225768,Rehab,2
20226042,Rehab,4
20225938,Rehab,3
20225694,Rehab,3
20226854,Rehab,3
20226419,Rehab,1
20226487,Rehab,1
20226492,Rehab,1
69753574,Pembangunan,1
20227171,Pembangunan,1
20226403,Rehab,2
20208930,Rehab,4
20226939,Rehab,1
20226437,Pembangunan,1
20226568,Rehab,3
20225957,Rehab,2
20226824,Rehab,2
20227058,Rehab,2
20226644,Rehab,2
20226644,Pembangunan,1
20226633,Rehab,3
20227108,Rehab,1
20226243,Rehab,3
20226814,Rehab,3
20226151,Rehab,3
20225738,Rehab,2
20226057,Rehab,2
20226995,Rehab,4
20226001,Pembangunan,1
20226761,Rehab,3
20226306,Rehab,1
20226752,Rehab,2
20227019,Rehab,2
20225873,Rehab,2
20226911,Rehab,3
20209004,Rehab,1
20227158,Rehab,2
20226573,Rehab,2
20226005,Pembangunan,1
20226286,Rehab,1
20225718,Rehab,2
20208892,Rehab,3
20226501,Pembangunan,1
20226855,Rehab,2
20226497,Rehab,3
20227129,Rehab,3
20226615,Rehab,3
20226692,Rehab,2
20226693,Rehab,3
20226672,Rehab,2
20227102,Rehab,2
20225916,Rehab,2
69725568,Rehab,2
20226770,Rehab,2
20226043,Rehab,2
20226648,Rehab,2
20227037,Rehab,3
20226376,Rehab,2
20226701,Rehab,2
20226388,Rehab,6
20226389,Rehab,6
20226899,Rehab,2
20226804,Rehab,2
20227048,Rehab,2
20226796,Rehab,2
20226606,Rehab,2
20223768,Rehab,2
20226610,Pembangunan,1
20226840,Pembangunan,1
20225922,Rehab,2
69896048,Rehab,3
20209285,Rehab,1
20262015,Rehab,2
20209362,Rehab,2
20209283,Rehab,3
20209282,Rehab,2
20227424,Rehab,2
20262020,Rehab,3
20227402,Rehab,2
69894141,Rehab,2
20268956,Rehab,2
20209296,Rehab,3
20227406,Rehab,2
69969735,Rehab,2
20227406,Rehab,2
20227417,Rehab,2
20269732,Rehab,2
20209312,Rehab,1
20209401,Rehab,2
20262016,Rehab,3
69971127,Rehab,3
20209309,Rehab,2
69909556,Rehab,2
20209308,Rehab,3
20262021,Rehab,3
20209361,Rehab,3
20262024,Rehab,4
20272104,Rehab,3
20276002,Rehab,2
20209307,Rehab,3
20262017,Rehab,2
20268874,Rehab,2
20271626,Rehab,3
20209304,Rehab,7
20209355,Rehab,4
20276001,Rehab,1
20209410,Rehab,1
20209274,Rehab,2
20209301,Rehab,2
20209299,Rehab,2
20209358,Rehab,2
20268981,Rehab,2
20261996,Rehab,2
20254356,Rehab,2
20209356,Rehab,3
20269731,Rehab,4
20209397,Rehab,2
20209394,Rehab,2
20209247,Rehab,4
69953894,Rehab,2
20209160,Rehab,3
20209158,Rehab,2
70009385,Pembangunan,1
69957193,Pembangunan,1
20209247,Pembangunan,1
69830372,Pembangunan,1
20209160,Pembangunan,1
P9984430,Pembangunan,1
P9997422,Pembangunan,1
P9997584,Pembangunan,1
P9999263,Pembangunan,1
P9948219,Pembangunan,1
P9998626,Rehab,1
P9948250,Rehab,1
