npsn,name,address,village,kecamatan,lat,lng,jenjang,student_count,st_male,st_female
69826911,AL-ALIFA,KP. CI SIIH,Kadongdong,Banjarwangi,,,PAUD,23,11,12
70047520,KB AINUL MARDIYYAH,Kp. Cidatar,Bojong,Banjarwangi,,,PAUD,45,28,17
70001435,KB AL FINNUR,KP. CILAME RT. 01 RW. 02,Talagasari,Banjarwangi,,,PAUD,67,41,26
70034739,KB AL ITTIHADIYAH,Kp. Negla RT 05 RW 02,Tanjungjaya,Banjarwangi,,,PAUD,51,29,22
70009882,KB Al-Barokah,Kp. Bungbulang,Padahurip,Banjarwangi,,,PAUD,40,18,22
69890166,KB AL-GHIFARI,KP. DANGIANG RT. 01 RW. 01,Dangiang,Banjarwangi,,,PAUD,38,18,20
69867314,KB AL-HIDAYAH,Kp. Pasuketan,Mulyajaya,Banjarwangi,,,PAUD,33,14,19
69988674,KB AL-IHSAN,KP. CILINGGA RT. 03 RW. 03,Padahurip,Banjarwangi,,,PAUD,27,15,12
69826933,KB AL-IKHWAN,KP. CIBUNTU,Mulyajaya,Banjarwangi,,,PAUD,29,18,11
69988587,KB AL-MUAWANAH,KP. CIGELEDUG RT. 02 RW. 03,Talagasari,Banjarwangi,,,PAUD,37,25,12
69982689,KB AL-MUBAROKAH,KP. BABAKAN PASUKETAN RT. 04 RW. 04,Mulyajaya,Banjarwangi,,,PAUD,19,11,8
69867307,KB AR-RIDWAN,Kp. Cigerek,Banjarwangi,Banjarwangi,,,PAUD,83,41,42
69867308,KB AS-SADIYAH,Kp. Babakan Palah,Talagasari,Banjarwangi,,,PAUD,24,15,9
69826953,KB ASYIFA YUSUF,Kp. Asyifa,Wangunjaya,Banjarwangi,,,PAUD,26,14,12
69867310,KB AT TARBIYAH,Kp. Cidadawah,Padahurip,Banjarwangi,,,PAUD,54,25,29
69826899,KB BAKTI MANDIRI,CIPARI,Jayabakti,Banjarwangi,,,PAUD,37,26,11
69867305,KB BUSTANUL WILDAN,Kp. Padasuka,Banjarwangi,Banjarwangi,,,PAUD,43,20,23
69965899,KB CAHAYA HATI,Kp. Hegarmanah,Mulyajaya,Banjarwangi,,,PAUD,31,10,21
69827013,KB DARUL ULUM,Kp. Cisintok RT. 07 RW. 01,Banjarwangi,Banjarwangi,,,PAUD,64,29,35
69990225,KB FADILATUL HUDA,KP. SINGKUR RT. 01 RW. 03,Mulyajaya,Banjarwangi,,,PAUD,20,8,12
69890174,KB HARAPAN BUNDA,KP. CILENGKENG,Kadongdong,Banjarwangi,,,PAUD,26,12,14
70045003,KB Himkasa,Kp. Pawitra,Mulyajaya,Banjarwangi,,,PAUD,15,10,5
69969514,KB KAROMATUL HUDA,KP. CIJOHO RT. 01 RW. 07,Mulyajaya,Banjarwangi,,,PAUD,19,10,9
69867304,KB MAWAR,Kp. Cikoleang RT. 01 RW. 02,Dangiang,Banjarwangi,,,PAUD,21,10,11
69867312,KB MIFTAHUL ANWAR,Kp. Padaawas,Kadongdong,Banjarwangi,,,PAUD,50,31,19
70007789,KB Miftahus Shuduur,Kp. Kadu Lempeng,Wangunjaya,Banjarwangi,,,PAUD,34,22,12
69826877,KB MUTIARA HATI,KP. TERUS GUNUNG,Banjarwangi,Banjarwangi,,,PAUD,53,29,24
70004662,KB NURUL AMANAH BANJARWANGI,KP. Cibitung RT 03 RW 02,Tanjungjaya,Banjarwangi,,,PAUD,58,30,28
69912832,KB NURUL HIDAYAH,Kp. Ciparay,Talagajaya,Banjarwangi,,,PAUD,45,18,27
69962976,KB NURUL HIKMAT,KP. CISADAP RT. 04 RW. 06,Banjarwangi,Banjarwangi,,,PAUD,28,14,14
69955030,KB NURUL HUDA,Kp. Cigombong RT.002/RW.001,Mulyajaya,Banjarwangi,,,PAUD,29,11,18
69939795,KB RAUDLATUL SIBYANIYAH,Kp. Negla RT 03 RW 06,Banjarwangi,Banjarwangi,,,PAUD,33,16,17
70053861,KB RIJALUL GODDI,Kp. Cipadung RT 01 RW 06,Bojong,Banjarwangi,,,PAUD,0,0,0
69826893,KB SAWARGI,KP. CIGUGUR RT. 01 RW. 04,Tanjungjaya,Banjarwangi,,,PAUD,31,16,15
70004661,KB SYAMROTUL FU ADAH BANJARWANGI,Kp. Cimanggu RT 03 RW 07,Bojong,Banjarwangi,,,PAUD,47,22,25
69867311,KB ULUL AZMI,Kp. Kadongdong,Kadongdong,Banjarwangi,,,PAUD,46,19,27
69971063,KB YUSUF AMIN,KP. EMPANG RT. 03 RW. 03,Wangunjaya,Banjarwangi,,,PAUD,28,16,12
69980571,KB ZAINURY,Kp. Sawah Pojok Rt. 03 Rw. 02,Bojong,Banjarwangi,,,PAUD,40,18,22
69827041,KB.AL-MUBAROK 2,KUBANG,Talagajaya,Banjarwangi,,,PAUD,53,21,32
69826768,NURUL HUDA,NAGRAK,Talagasari,Banjarwangi,,,PAUD,22,11,11
69826794,NURUL ITTIHAD,CIKONDANG,Wangunjaya,Banjarwangi,,,PAUD,43,23,20
69867571,PAUD ALFALAH,KP.HAMERANG,Banjarwangi,Banjarwangi,,,PAUD,57,28,29
69826980,PAUD BANI HASAN,DARIAWAS RT 03/ RW 08,Kadongdong,Banjarwangi,,,PAUD,22,14,8
69867302,PAUD CAHAYA,Kp. Sarongge RT. 03 RW. 03,Dangiang,Banjarwangi,,,PAUD,44,21,23
69867309,PAUD NURUL HIDAYAH,Kp. PASIR ROMEH,Talagasari,Banjarwangi,,,PAUD,54,26,28
69827033,PAUD USWATUN HASANAH,KP. BANTAR PEUNDEUY,Bojong,Banjarwangi,,,PAUD,62,21,41
69912813,TK AL HANIF,Kp. Sukahejo RT 03/07,Wangunjaya,Banjarwangi,,,PAUD,25,13,12
